category,vendor,description,amount
Food & Dining,McDonalds,restaurant takeout,851.65
Shopping,H&M,purchase #9157,36.34
Transportation,Shell,gas transportation #4176,53.99
Bills & Utilities,Verizon,payment service,474.48
Groceries,Whole Foods,bread produce groceries,47.5
Entertainment,Spotify,game entertainment,47.84
Shopping,Nike,shoes #9978,243.12
Healthcare,Quest Diagnostics,health medicine #9809,425.81
Shopping,Amazon,accessories electronics,187.35
Bills & Utilities,Verizon,bill #6707,854.1
Shopping,H&M,shoes purchase clothes #8782,296.99
Transportation,BP,transportation gas,24.24
Food & Dining,Pizza Hut,meal #4517,980.15
Healthcare,Quest Diagnostics,medicine doctor medical,352.75
Bills & Utilities,Electric Company,service,419.05
Healthcare,Quest Diagnostics,medical health medicine #2087,377.73
Shopping,Best Buy,shoes #7393,102.77
Bills & Utilities,Verizon,monthly,298.85
Food & Dining,Chipotle,takeout meal #3176,66.74
Entertainment,AMC Theaters,streaming music,46.91
Shopping,Best Buy,electronics accessories,155.46
Bills & Utilities,Water Service,monthly,104.55
Entertainment,Xbox,movie streaming game,29.08
Others,Various Services,other service general,475.94
Bills & Utilities,Electric Company,payment,163.15
Others,Miscellaneous,other misc payment #3438,391.68
Transportation,Uber,ride,28.64
Others,Various Services,misc payment general,690.07
Healthcare,Local Clinic,doctor medicine health #5988,93.5
Entertainment,Steam,streaming game,18.14
Groceries,Kroger,bread groceries produce,26.37
Food & Dining,Chipotle,restaurant meal dinner,165.81
Food & Dining,McDonalds,meal takeout lunch,777.0
Groceries,Kroger,produce groceries,110.52
Food & Dining,Pizza Hut,takeout meal,443.72
Entertainment,Xbox,entertainment,14.84
Shopping,Best Buy,accessories shoes #6463,182.27
Entertainment,Netflix,streaming entertainment,35.4
Healthcare,Local Clinic,prescription #5886,448.18
Shopping,H&M,accessories clothes,262.2
Food & Dining,Subway,restaurant #6031,413.2
Entertainment,Netflix,game #9004,39.08
Food & Dining,Pizza Hut,lunch restaurant,673.74
Transportation,Metro,ride gas transit,77.63
Healthcare,Walgreens,medical,113.88
Entertainment,Xbox,game,25.39
Transportation,Lyft,transportation fuel,17.32
Food & Dining,Pizza Hut,restaurant,277.79
Groceries,Trader Joes,produce dairy bread,53.82
Shopping,Amazon,accessories clothes electronics #8758,237.47
Entertainment,Spotify,movie game music,22.98
Entertainment,Netflix,game music movie #8502,17.8
Shopping,H&M,purchase,263.06
Others,Miscellaneous,other general payment,740.55
Transportation,Metro,ride transit,26.06
Healthcare,Quest Diagnostics,health,346.79
Others,Miscellaneous,other service general,659.23
Healthcare,CVS,medicine #1232,252.88
Transportation,Shell,gas,52.95
Transportation,Uber,transit taxi #4531,34.85
Others,Unknown Vendor,misc service payment,797.55
Entertainment,Xbox,entertainment,39.92
Shopping,Nike,clothes #8748,234.67
Shopping,Nike,accessories clothes purchase #8571,37.83
Healthcare,Local Clinic,prescription,496.34
Others,Unknown Vendor,misc payment other,47.67
Shopping,Amazon,shoes #4328,195.24
Others,Miscellaneous,misc service,871.2
Healthcare,Local Clinic,doctor medicine medical #1983,20.24
Healthcare,Quest Diagnostics,doctor prescription medical #3868,344.09
Groceries,Walmart,food produce groceries #8989,75.35
Others,Various Services,service misc other,942.57
Shopping,Amazon,electronics purchase shoes,27.35
Entertainment,AMC Theaters,movie,40.82
Groceries,Trader Joes,groceries,180.05
Groceries,Kroger,bread produce food #3546,137.22
Others,Miscellaneous,payment general #1933,856.87
Food & Dining,Chipotle,dinner,423.03
Healthcare,Walgreens,prescription,57.61
Healthcare,Walgreens,prescription medicine,491.96
Bills & Utilities,Water Service,bill payment service,782.82
Entertainment,Xbox,entertainment music movie,46.83
Groceries,Trader Joes,food bread,173.08
Healthcare,Quest Diagnostics,medicine doctor prescription,59.35
Healthcare,Walgreens,health #7003,281.16
Food & Dining,Subway,restaurant,48.09
Food & Dining,Chipotle,delivery dinner restaurant,932.99
Transportation,Uber,taxi fuel,66.9
Food & Dining,Chipotle,restaurant takeout #4021,827.8
Others,Miscellaneous,service,581.78
Groceries,Kroger,meat dairy,128.23
Bills & Utilities,Water Service,utility payment,969.8
Transportation,Metro,fuel gas ride #3875,11.5
Groceries,Trader Joes,bread,139.73
Shopping,Target,electronics clothes purchase #2094,62.23
Healthcare,Local Clinic,medical #4900,83.69
Entertainment,Xbox,movie,48.01
Transportation,Uber,taxi fuel ride,27.87
Entertainment,Netflix,entertainment music movie #7673,36.61
Food & Dining,McDonalds,meal,891.75
Transportation,BP,transit fuel transportation,38.52
Others,Miscellaneous,general payment misc #7502,221.56
Transportation,Shell,fuel ride,25.32
Food & Dining,Pizza Hut,delivery dinner meal,227.47
Bills & Utilities,Water Service,utility,747.72
Groceries,Walmart,groceries produce #1913,88.93
Groceries,Trader Joes,bread dairy groceries,70.29
Entertainment,Netflix,movie music entertainment #2212,20.56
Others,Miscellaneous,misc general,453.67
Groceries,Walmart,bread groceries,120.33
Healthcare,Walgreens,medical doctor health,422.9
Bills & Utilities,Water Service,utility,42.72
Healthcare,Local Clinic,medical doctor prescription,125.71
Food & Dining,McDonalds,takeout lunch,217.49
Bills & Utilities,Electric Company,monthly payment utility #1455,722.46
Food & Dining,McDonalds,meal delivery lunch,976.71
Shopping,Best Buy,clothes purchase,122.78
Food & Dining,Chipotle,restaurant lunch #2326,364.08
Healthcare,CVS,prescription medicine #4079,245.23
Entertainment,Netflix,music streaming,31.71
Others,Unknown Vendor,misc,369.77
Food & Dining,Subway,dinner lunch restaurant #3274,893.26
Others,Various Services,service general,279.1
Others,Unknown Vendor,other misc,464.71
Food & Dining,Pizza Hut,delivery dinner,377.13
Others,Various Services,other general #9821,162.78
Groceries,Walmart,dairy bread,153.11
Groceries,Safeway,bread,85.39
Entertainment,Spotify,entertainment movie,34.01
Healthcare,Local Clinic,health,62.25
Shopping,Nike,accessories clothes electronics,15.9
Healthcare,Quest Diagnostics,medicine,361.91
Groceries,Trader Joes,meat bread,164.02
Shopping,Nike,clothes purchase shoes,263.7
Healthcare,Local Clinic,doctor medicine,257.01
Others,Various Services,service misc payment #5150,625.99
Others,Various Services,general payment other,708.36
Healthcare,Quest Diagnostics,health medical doctor,190.8
Others,Various Services,general payment misc,30.09
Entertainment,AMC Theaters,game movie streaming #2995,12.29
Shopping,Best Buy,electronics,275.49
Groceries,Trader Joes,produce meat,140.09
Entertainment,AMC Theaters,music movie streaming,47.09
Entertainment,Netflix,entertainment streaming,20.71
Groceries,Trader Joes,meat,92.99
Shopping,Target,clothes #8023,177.86
Shopping,Nike,purchase clothes shoes #1752,171.75
Healthcare,Quest Diagnostics,medical health doctor,273.55
Groceries,Trader Joes,meat bread produce,80.48
Shopping,Amazon,electronics #1617,199.0
Groceries,Kroger,bread food groceries,183.88
Transportation,Uber,taxi fuel transit #4382,8.72
Entertainment,Spotify,game,21.33
Entertainment,Netflix,entertainment movie,10.42
Groceries,Trader Joes,groceries #4433,156.79
Healthcare,Walgreens,medicine,431.92
Transportation,Metro,taxi gas ride #5970,11.39
Transportation,BP,gas,64.73
Healthcare,Local Clinic,medical #6429,464.56
Healthcare,Walgreens,prescription,163.19
Groceries,Safeway,bread produce meat,145.43
Shopping,Nike,clothes,99.21
Bills & Utilities,Electric Company,service payment,557.44
Shopping,Amazon,clothes shoes,69.23
Shopping,Target,purchase electronics clothes #5866,66.84
Shopping,H&M,shoes #8644,228.88
Healthcare,CVS,doctor medical prescription #8952,336.82
Groceries,Safeway,meat dairy bread,78.4
Transportation,Lyft,ride,9.2
Shopping,Amazon,clothes shoes electronics,240.43
Bills & Utilities,Water Service,monthly utility,812.05
Shopping,Target,electronics shoes #9482,27.45
Entertainment,AMC Theaters,movie game,15.29
Transportation,Uber,transit transportation,54.8
Others,Various Services,general misc #4985,850.24
Groceries,Walmart,dairy food,178.14
Shopping,Amazon,accessories,182.53
Bills & Utilities,AT&T,payment service,227.93
Shopping,Best Buy,purchase accessories #2251,297.61
Groceries,Safeway,groceries bread,137.25
Healthcare,Quest Diagnostics,doctor #2877,437.71
Food & Dining,Local Restaurant,takeout delivery #4908,139.76
Entertainment,Steam,music,38.41
Transportation,BP,ride,54.33
Shopping,Best Buy,accessories,56.28
Food & Dining,Pizza Hut,delivery lunch #8915,285.59
Groceries,Safeway,dairy,68.94
Others,Various Services,general misc other,154.83
Healthcare,Walgreens,health medicine doctor,480.68
Entertainment,Netflix,movie game,12.37
Transportation,Uber,fuel transportation,49.65
Bills & Utilities,Electric Company,payment #3576,758.89
Groceries,Whole Foods,food,183.43
Shopping,Amazon,purchase shoes clothes,248.12
Others,Unknown Vendor,general,532.56
Transportation,BP,transportation fuel,77.58
Shopping,Nike,shoes electronics purchase,145.43
Shopping,H&M,clothes shoes #7978,28.35
Entertainment,Netflix,music #6800,28.22
Food & Dining,Subway,restaurant delivery meal,883.35
Others,Various Services,other payment misc #2492,782.92
Groceries,Safeway,food bread meat,66.17
Food & Dining,Chipotle,takeout,74.7
Transportation,Lyft,transit,53.41
Food & Dining,Chipotle,delivery meal dinner,358.6
Shopping,Target,electronics clothes,161.33
Others,Unknown Vendor,general,657.17
Bills & Utilities,Electric Company,utility payment service #4033,407.64
Others,Various Services,misc #9724,884.98
Shopping,H&M,shoes,240.54
Entertainment,Xbox,game entertainment,35.09
Bills & Utilities,AT&T,bill #7398,390.96
Healthcare,Walgreens,doctor medical health,172.4
Entertainment,Spotify,streaming #4375,46.12
Entertainment,Netflix,movie entertainment streaming,28.07
Entertainment,Spotify,entertainment movie game,16.96
Bills & Utilities,AT&T,service,147.57
Entertainment,Netflix,entertainment movie game,30.12
Food & Dining,Local Restaurant,dinner lunch restaurant #8762,601.86
Healthcare,CVS,prescription #3232,157.39
Healthcare,Walgreens,medicine prescription,142.14
Groceries,Whole Foods,bread,179.35
Shopping,Target,accessories clothes #9539,270.99
Healthcare,Local Clinic,prescription,238.87
Others,Various Services,general,378.79
Entertainment,Spotify,game streaming #8904,43.38
Shopping,Nike,electronics,108.93
Shopping,Best Buy,purchase #3331,299.35
Entertainment,Spotify,music,20.18
Bills & Utilities,AT&T,utility bill,774.69
Others,Unknown Vendor,payment misc service,798.67
Groceries,Walmart,dairy meat #6116,103.83
Bills & Utilities,Electric Company,monthly service bill #9627,874.38
Others,Unknown Vendor,service misc,202.58
Transportation,Uber,taxi transportation,73.17
Food & Dining,Subway,takeout lunch dinner,746.07
Groceries,Safeway,bread food,189.97
Groceries,Kroger,food #4502,60.31
Bills & Utilities,Verizon,payment monthly #7248,463.72
Others,Miscellaneous,payment other,997.97
Bills & Utilities,Verizon,monthly service #4210,477.54
Food & Dining,Pizza Hut,lunch delivery,24.62
Shopping,H&M,accessories purchase clothes,261.18
Food & Dining,Pizza Hut,takeout #3003,306.28
Others,Various Services,payment other general,49.78
Healthcare,Local Clinic,health,492.62
Groceries,Trader Joes,meat,110.86
Groceries,Walmart,bread groceries dairy #4166,192.67
Others,Unknown Vendor,general misc #2645,353.91
Transportation,Metro,transportation transit #1189,75.63
Transportation,Shell,gas,29.63
Entertainment,Steam,game streaming,37.66
Shopping,Amazon,electronics purchase #4819,229.63
Others,Various Services,service misc #4399,387.11
Healthcare,Quest Diagnostics,health medical prescription,493.25
Bills & Utilities,Verizon,service utility monthly #7866,72.17
Shopping,Nike,purchase #7480,257.64
Bills & Utilities,AT&T,bill monthly service #1080,468.72
Shopping,Target,shoes #7608,93.44
Others,Various Services,service #9787,905.2
Food & Dining,Subway,delivery meal,279.83
Food & Dining,Local Restaurant,takeout,541.95
Groceries,Walmart,food groceries produce,149.86
Groceries,Safeway,produce groceries #8810,34.18
Transportation,Uber,transit taxi ride,64.93
Groceries,Trader Joes,produce dairy,33.4
Entertainment,Steam,entertainment movie music,19.96
Others,Various Services,payment other #7892,636.79
Entertainment,AMC Theaters,music #4591,35.38
Healthcare,CVS,medicine doctor,265.74
Shopping,Nike,shoes,123.38
Transportation,Lyft,taxi fuel gas,52.59
Healthcare,Quest Diagnostics,health doctor,326.81
Food & Dining,Chipotle,dinner meal takeout #3899,501.2
Transportation,Metro,gas transit,43.53
Entertainment,Netflix,movie streaming #2266,41.96
Groceries,Whole Foods,meat bread #4231,95.78
Shopping,Best Buy,electronics clothes,105.08
Shopping,Target,shoes clothes,168.76
Groceries,Trader Joes,food meat produce,24.56
Groceries,Safeway,meat,36.32
Others,Unknown Vendor,misc service,564.82
Bills & Utilities,Water Service,monthly,270.96
Transportation,Uber,ride transportation,51.74
Bills & Utilities,Verizon,payment utility #7160,998.95
Food & Dining,Subway,delivery #4613,214.68
Transportation,Lyft,taxi,56.23
Bills & Utilities,Verizon,utility,118.79
Bills & Utilities,Verizon,utility bill,434.0
Others,Miscellaneous,misc payment general #3330,949.06
Groceries,Kroger,groceries meat,103.75
Groceries,Walmart,meat bread,153.48
Groceries,Kroger,meat groceries dairy,70.5
Healthcare,Quest Diagnostics,health prescription medicine #1120,456.65
Food & Dining,Pizza Hut,dinner meal,26.39
Groceries,Kroger,food meat #7106,149.16
Others,Miscellaneous,other,108.71
Shopping,H&M,purchase shoes clothes,158.92
Healthcare,Walgreens,doctor prescription medicine #1913,80.38
Entertainment,Steam,movie game music,48.53
Healthcare,Quest Diagnostics,prescription doctor,135.13
Bills & Utilities,Water Service,bill #8981,11.94
Bills & Utilities,Verizon,service #4849,328.77
Healthcare,Local Clinic,doctor prescription,190.67
Shopping,H&M,accessories shoes clothes,185.73
Healthcare,Local Clinic,medical medicine doctor #7740,40.46
Healthcare,Local Clinic,medicine health prescription,318.03
Transportation,Lyft,fuel,19.66
Food & Dining,Local Restaurant,dinner lunch meal #3680,398.47
Food & Dining,Pizza Hut,lunch,683.35
Healthcare,Local Clinic,medicine,371.95
Healthcare,Walgreens,medicine medical,37.19
Healthcare,Walgreens,health,387.05
Others,Unknown Vendor,other,232.33
Healthcare,CVS,doctor #6474,481.97
Transportation,Lyft,fuel gas,30.58
Healthcare,Quest Diagnostics,doctor #2053,441.48
Food & Dining,Pizza Hut,dinner lunch restaurant,707.4
Others,Unknown Vendor,payment service #9781,840.66
Others,Various Services,general misc other,871.54
Food & Dining,Chipotle,dinner meal delivery #7215,732.68
Entertainment,Netflix,entertainment #6422,22.45
Transportation,Shell,transit taxi gas #9595,6.19
Groceries,Whole Foods,produce meat food,34.87
Healthcare,Walgreens,health,229.58
Shopping,H&M,clothes shoes,248.29
Bills & Utilities,AT&T,payment,476.78
Shopping,Target,accessories clothes,269.85
Entertainment,Spotify,entertainment movie streaming,12.66
Bills & Utilities,Verizon,utility service monthly,440.04
Entertainment,AMC Theaters,game entertainment music,38.78
Healthcare,Walgreens,doctor prescription #6238,390.74
Transportation,Lyft,ride,19.34
Shopping,Nike,purchase shoes,286.02
Bills & Utilities,AT&T,monthly utility service,834.97
Shopping,Nike,purchase accessories clothes #9734,90.48
Transportation,Metro,transportation fuel #6265,39.04
Groceries,Safeway,produce bread,116.42
Groceries,Walmart,groceries produce,104.44
Transportation,Uber,transportation transit ride #9602,47.63
Bills & Utilities,AT&T,monthly service payment,667.44
Entertainment,AMC Theaters,movie #3375,12.87
Others,Various Services,payment misc,719.65
Transportation,Uber,fuel,60.17
Transportation,Metro,ride taxi transportation,53.73
Bills & Utilities,Verizon,monthly utility service,341.77
Food & Dining,McDonalds,delivery lunch,944.62
Bills & Utilities,Water Service,utility payment bill #4928,429.23
Others,Miscellaneous,payment #7168,259.57
Food & Dining,Local Restaurant,delivery lunch meal,245.15
Bills & Utilities,Water Service,payment bill,645.68
Healthcare,Walgreens,doctor prescription,42.96
Healthcare,Local Clinic,prescription doctor,404.01
Entertainment,Spotify,entertainment music game,46.95
Transportation,Metro,gas taxi fuel #9489,63.56
Shopping,H&M,electronics accessories,241.81
Others,Miscellaneous,misc other general #4335,610.82
Others,Various Services,service other misc,229.89
Others,Unknown Vendor,other payment misc,756.78
Entertainment,Steam,game movie streaming #3731,42.91
Others,Miscellaneous,general service payment,562.62
Others,Miscellaneous,misc,814.29
Transportation,Metro,transportation taxi,58.47
Bills & Utilities,AT&T,service payment bill #8433,94.64
Groceries,Trader Joes,food produce,189.97
Shopping,Target,clothes shoes,52.58
Shopping,Target,electronics,293.66
Entertainment,Netflix,music game,42.22
Others,Miscellaneous,general other payment,504.07
Transportation,BP,transit transportation gas #9116,13.51
Others,Various Services,other service payment,208.73
Bills & Utilities,AT&T,utility service,307.8
Transportation,Lyft,gas transit #4764,46.65
Transportation,BP,fuel,53.9
Others,Unknown Vendor,general other,763.3
Bills & Utilities,Water Service,payment utility #2599,179.22
Healthcare,Walgreens,medical,191.85
Food & Dining,Chipotle,takeout lunch,806.53
Transportation,BP,transit #6075,13.99
Food & Dining,Local Restaurant,lunch meal,642.47
Shopping,Amazon,clothes accessories #9113,240.66
Others,Unknown Vendor,misc general,294.44
Bills & Utilities,Electric Company,service,480.94
Entertainment,Steam,game streaming entertainment,20.52
Entertainment,Xbox,streaming game movie,31.99
Others,Unknown Vendor,other misc,246.69
Entertainment,AMC Theaters,entertainment game music,26.76
Bills & Utilities,Water Service,utility,651.8
Groceries,Safeway,meat dairy food,40.61
Groceries,Whole Foods,produce dairy,118.11
Transportation,Uber,gas fuel,20.55
Shopping,Nike,shoes purchase,20.54
Healthcare,CVS,medical,165.79
Bills & Utilities,Electric Company,utility payment,799.04
Others,Various Services,other,207.29
Food & Dining,Chipotle,restaurant dinner #4260,62.1
Shopping,Best Buy,purchase accessories clothes,30.55
Others,Unknown Vendor,payment,831.66
Shopping,H&M,clothes #4093,215.16
Groceries,Safeway,produce,36.65
Bills & Utilities,Water Service,monthly utility payment #9077,409.61
Food & Dining,Local Restaurant,takeout,612.49
Entertainment,Xbox,movie streaming entertainment,29.71
Transportation,Shell,transportation taxi transit #3824,49.94
Bills & Utilities,Water Service,service,792.57
Transportation,Uber,transportation,7.6
Transportation,Metro,transit ride,77.99
Bills & Utilities,AT&T,bill utility,69.95
Transportation,Metro,transportation,41.01
Groceries,Walmart,groceries #7770,45.49
Bills & Utilities,Water Service,utility bill #5442,108.38
Bills & Utilities,Electric Company,service monthly utility #1021,848.52
Others,Various Services,payment,636.96
Healthcare,CVS,prescription #8926,84.7
Entertainment,Netflix,movie streaming #1520,25.6
Shopping,Nike,shoes clothes,189.77
Shopping,Nike,electronics clothes shoes #7399,207.65
Groceries,Trader Joes,groceries,49.95
Shopping,H&M,accessories purchase #2427,299.47
Transportation,BP,transportation,57.78
Transportation,Metro,gas transit #8718,24.38
Healthcare,Walgreens,medicine,158.67
Groceries,Safeway,food meat dairy #8251,47.76
Bills & Utilities,Water Service,monthly #8404,897.49
Transportation,Uber,transit,8.48
Transportation,Uber,ride transit fuel,52.36
Entertainment,Steam,streaming #3491,47.37
Food & Dining,Pizza Hut,delivery takeout,243.88
Transportation,Uber,gas taxi #2489,67.42
